# Panel B: Recovery Curves
Time_s,100uM_OA_Normalized,100uM_OA_Fitted,SCDi_Normalized,SCDi_Fitted
0.0000,0.0000,0.0000,0.0000,0.0000
0.7168,0.3127,0.3132,0.1828,0.1723
1.4337,0.4531,0.4501,0.2951,0.2901
2.1505,0.5047,0.5099,0.3628,0.3707
2.8674,0.5389,0.5361,0.4291,0.4257
3.5842,,,0.4550,0.4634
4.3011,,,0.4949,0.4891
5.0179,,,0.4859,0.5067
5.7348,,,0.5210,0.5187
6.4516,,,0.5433,0.5269

# Panels C & D: Bar Charts
Sample,Mobile_Fraction_%,Immobile_Fraction_%,Half_Time_s
100uM OA,55.64,44.36,0.6013
SCDi,54.47,45.53,1.3062
