ROI_Type,Y,X
Bleach,155,198
Bleach,156,197
Bleach,156,198
Bleach,156,199
Bleach,157,196
Bleach,157,197
Bleach,157,198
Bleach,157,199
Bleach,157,200
Bleach,158,197
Bleach,158,198
Bleach,158,199
Bleach,159,196
Bleach,159,197
Bleach,159,198
Bleach,159,199
Bleach,159,200
Bleach,160,195
Bleach,160,196
Bleach,160,197
Bleach,160,198
Bleach,160,199
Bleach,161,194
Bleach,161,195
Bleach,161,196
Bleach,161,197
Bleach,161,198
Bleach,162,195
Bleach,162,196
Bleach,162,197
Bleach,162,198
Bleach,162,199
Bleach,163,195
Bleach,163,196
Bleach,163,197
Bleach,163,198
Bleach,163,199
Bleach,163,200
Bleach,164,196
Bleach,164,197
Bleach,164,198
Bleach,164,199
Bleach,164,200
Bleach,164,201
Bleach,165,195
Bleach,165,196
Bleach,165,197
Bleach,165,198
Bleach,165,199
Bleach,165,200
Bleach,165,201
Bleach,166,196
Bleach,166,197
Bleach,166,198
Bleach,166,199
Bleach,166,200
Bleach,166,201
Bleach,166,202
Bleach,167,196
Bleach,167,197
Bleach,167,198
Bleach,167,199
Bleach,167,200
Bleach,167,201
Bleach,167,202
Bleach,167,203
Bleach,168,195
Bleach,168,196
Bleach,168,197
Bleach,168,198
Bleach,168,199
Bleach,168,200
Bleach,168,201
Bleach,168,202
Bleach,168,203
Bleach,168,204
Bleach,169,194
Bleach,169,195
Bleach,169,196
Bleach,169,197
Bleach,169,198
Bleach,169,199
Bleach,169,200
Bleach,169,201
Bleach,169,202
Bleach,169,203
Bleach,169,204
Bleach,169,205
Bleach,170,193
Bleach,170,194
Bleach,170,195
Bleach,170,196
Bleach,170,197
Bleach,170,198
Bleach,170,199
Bleach,170,200
Bleach,170,201
Bleach,170,202
Bleach,170,203
Bleach,170,204
Bleach,171,194
Bleach,171,195
Bleach,171,196
Bleach,171,197
Bleach,171,198
Bleach,171,199
Bleach,171,200
Bleach,171,201
Bleach,171,202
Bleach,171,203
Bleach,171,204
Bleach,171,205
Bleach,172,195
Bleach,172,196
Bleach,172,197
Bleach,172,198
Bleach,172,199
Bleach,172,200
Bleach,172,201
Bleach,172,202
Bleach,172,203
Bleach,172,204
Bleach,172,205
Bleach,172,206
Bleach,173,196
Bleach,173,197
Bleach,173,198
Bleach,173,199
Bleach,173,200
Bleach,173,201
Bleach,173,202
Bleach,173,203
Bleach,173,204
Bleach,173,205
Bleach,173,206
Bleach,173,207
Bleach,174,197
Bleach,174,198
Bleach,174,199
Bleach,174,200
Bleach,174,201
Bleach,174,202
Bleach,174,203
Bleach,174,204
Bleach,174,205
Bleach,174,206
Bleach,175,198
Bleach,175,199
Bleach,175,200
Bleach,175,201
Bleach,175,202
Bleach,175,203
Bleach,175,204
Bleach,175,205
Bleach,175,206
Bleach,176,198
Bleach,176,199
Bleach,176,200
Bleach,176,201
Bleach,176,202
Bleach,176,203
Bleach,176,204
Bleach,176,205
Bleach,176,206
Bleach,176,207
Bleach,177,199
Bleach,177,200
Bleach,177,201
Bleach,177,202
Bleach,177,203
Bleach,177,204
Bleach,177,205
Bleach,177,206
Bleach,177,207
Bleach,178,200
Bleach,178,201
Bleach,178,202
Bleach,178,203
Bleach,178,204
Bleach,178,205
Bleach,178,206
Bleach,178,207
Bleach,178,208
Bleach,179,199
Bleach,179,200
Bleach,179,201
Bleach,179,202
Bleach,179,203
Bleach,179,204
Bleach,179,205
Bleach,179,206
Bleach,179,207
Bleach,179,208
Bleach,179,209
