Pixel_Index,Frame_0_t0.00s,Frame_1_t0.72s,Frame_2_t1.44s,Frame_3_t2.15s,Frame_4_t2.87s
0,10,6,7,17,22
1,8,17,11,17,22
2,9,10,7,16,21
3,6,8,6,15,18
4,10,12,15,14,15
5,11,13,8,16,24
6,8,6,10,15,20
7,7,6,7,14,21
8,5,3,5,7,14
9,12,6,9,16,16
10,9,5,7,14,19
11,5,4,8,12,16
12,15,18,12,16,17
13,13,8,10,14,19
14,10,7,8,14,17
15,6,3,5,9,11
16,4,3,5,7,13
17,18,23,12,14,15
18,15,16,16,12,20
19,13,12,12,13,18
20,13,8,8,12,19
21,9,5,6,10,16
22,18,18,15,14,22
23,22,18,16,16,21
24,19,14,15,14,21
25,17,12,10,11,21
26,13,7,6,9,20
27,14,24,15,18,20
28,17,14,11,17,21
29,20,11,8,12,22
30,19,9,9,10,12
31,9,7,2,6,12
32,17,22,15,17,24
33,19,17,16,17,21
34,19,13,7,16,24
35,15,8,6,9,13
36,11,7,6,7,11
37,6,4,4,4,7
38,17,19,16,16,23
39,18,16,12,13,19
40,18,9,8,8,14
41,15,7,8,7,10
42,9,5,5,5,6
43,8,5,3,2,5
44,13,21,19,21,27
45,16,18,15,14,19
46,21,20,12,12,16
47,14,16,11,8,13
48,16,9,7,5,11
49,12,5,5,5,9
50,8,5,4,5,5
51,12,21,24,15,18
52,16,21,17,14,15
53,19,16,15,9,12
54,16,15,10,6,9
55,11,7,8,6,7
56,14,7,3,5,5
57,5,3,4,4,6
58,13,20,20,20,19
59,20,22,21,18,20
60,17,20,15,11,9
61,22,16,11,5,10
62,15,8,6,3,7
63,13,6,7,5,5
64,7,4,2,3,7
65,6,4,2,5,4
66,6,12,19,18,17
67,12,17,21,22,19
68,16,18,21,19,13
69,16,19,15,13,11
70,19,17,12,10,10
71,18,10,9,8,8
72,13,8,4,4,8
73,10,8,4,5,3
74,9,3,3,2,3
75,5,4,3,2,2
76,6,8,9,13,15
77,5,15,17,17,15
78,8,14,21,23,21
79,12,21,23,24,16
80,16,22,21,17,18
81,22,16,12,13,13
82,23,15,11,8,10
83,23,9,7,4,6
84,16,7,3,5,8
85,8,6,2,3,3
86,7,5,3,4,5
87,5,3,4,1,4
88,3,4,8,8,14
89,4,5,6,8,13
90,6,9,10,13,18
91,3,18,13,20,17
92,6,17,19,22,24
93,14,21,28,17,18
94,22,20,19,14,14
95,26,25,16,11,10
96,19,14,10,6,5
97,21,11,7,7,4
98,11,7,7,2,5
99,8,8,5,3,4
100,5,6,7,11,13
101,5,9,11,13,17
102,5,11,15,17,23
103,8,16,27,22,21
104,10,17,25,23,16
105,23,22,27,20,14
106,23,28,20,11,11
107,22,21,16,8,9
108,19,15,9,6,7
109,16,9,4,3,5
110,7,4,6,5,3
111,6,6,3,5,3
112,4,5,11,13,12
113,6,9,14,14,16
114,9,12,21,22,21
115,14,17,23,24,21
116,20,24,31,23,20
117,18,29,22,20,18
118,25,28,17,15,9
119,17,17,9,8,6
120,15,13,7,8,5
121,13,10,3,4,3
122,7,5,2,4,3
123,4,2,2,2,2
124,7,10,14,13,16
125,9,16,22,17,16
126,13,24,22,21,22
127,19,26,29,24,18
128,19,26,27,23,20
129,25,23,14,20,17
130,25,22,11,10,7
131,19,18,9,7,7
132,8,6,5,5,3
133,6,7,4,3,2
134,3,5,4,4,5
135,4,1,3,5,3
136,6,10,16,12,20
137,8,15,27,26,28
138,15,26,34,25,30
139,17,23,23,26,23
140,27,25,26,24,17
141,25,24,22,16,15
142,22,14,11,10,7
143,15,10,6,6,4
144,10,6,4,7,4
145,6,5,3,2,4
146,10,15,18,22,20
147,11,21,28,27,21
148,18,24,26,26,28
149,16,27,31,26,23
150,25,23,25,23,16
151,24,17,17,14,12
152,15,9,14,10,8
153,11,4,10,6,6
154,7,5,5,2,5
155,6,8,14,24,24
156,9,15,20,28,23
157,16,18,29,26,31
158,22,22,29,27,22
159,24,27,32,20,16
160,29,22,21,19,15
161,19,13,15,13,8
162,12,9,7,8,7
163,10,5,4,4,6
164,6,2,4,5,3
165,6,8,20,27,29
166,8,12,28,32,28
167,15,22,31,33,25
168,19,26,25,25,18
169,21,24,25,19,12
170,14,20,14,17,9
171,13,15,10,9,6
172,9,7,4,6,4
173,9,4,4,3,3
174,8,19,24,24,26
175,12,20,34,32,31
176,18,23,29,23,22
177,19,32,23,23,18
178,22,19,21,21,14
179,13,10,9,12,7
180,9,8,6,8,7
181,4,6,3,3,7
182,2,4,2,3,3
183,4,9,14,17,21
184,9,12,19,27,26
185,11,17,26,24,28
186,18,18,38,25,29
187,19,19,26,24,26
188,19,16,24,18,19
189,13,10,15,12,14
190,13,8,6,6,11
191,9,6,6,4,7
192,5,2,4,2,3
193,2,3,2,3,3
194,6,12,20,23,18
195,10,13,21,29,24
196,13,24,29,26,30
197,18,20,26,24,27
198,16,16,22,19,24
199,15,19,18,11,15
200,17,12,16,8,10
201,7,6,9,7,7
202,5,5,4,5,5
203,4,3,4,4,4
204,1,3,3,3,3
205,6,7,8,12,12
206,6,9,13,15,12
207,8,11,17,20,25
208,12,14,21,26,25
209,16,17,23,25,26
210,17,22,28,26,24
211,17,22,22,15,22
212,13,19,22,10,12
213,11,14,11,11,8
214,9,4,7,7,5
215,3,5,6,5,4
