ROI_Type,Y,X
Bleach,96,220
Bleach,96,222
Bleach,97,214
Bleach,97,218
Bleach,97,219
Bleach,97,220
Bleach,97,221
Bleach,97,222
Bleach,97,223
Bleach,98,194
Bleach,98,213
Bleach,98,214
Bleach,98,215
Bleach,98,217
Bleach,98,218
Bleach,98,219
Bleach,98,220
Bleach,98,221
Bleach,98,222
Bleach,98,223
Bleach,98,224
Bleach,99,193
Bleach,99,194
Bleach,99,195
Bleach,99,203
Bleach,99,212
Bleach,99,213
Bleach,99,214
Bleach,99,215
Bleach,99,216
Bleach,99,217
Bleach,99,218
Bleach,99,219
Bleach,99,220
Bleach,99,221
Bleach,99,222
Bleach,99,223
Bleach,99,224
Bleach,99,225
Bleach,100,192
Bleach,100,193
Bleach,100,194
Bleach,100,195
Bleach,100,196
Bleach,100,202
Bleach,100,203
Bleach,100,204
Bleach,100,211
Bleach,100,212
Bleach,100,213
Bleach,100,214
Bleach,100,215
Bleach,100,216
Bleach,100,217
Bleach,100,218
Bleach,100,219
Bleach,100,220
Bleach,100,221
Bleach,100,222
Bleach,100,223
Bleach,100,224
Bleach,100,225
Bleach,101,193
Bleach,101,194
Bleach,101,195
Bleach,101,196
Bleach,101,197
Bleach,101,201
Bleach,101,202
Bleach,101,203
Bleach,101,204
Bleach,101,205
Bleach,101,211
Bleach,101,212
Bleach,101,213
Bleach,101,214
Bleach,101,215
Bleach,101,216
Bleach,101,217
Bleach,101,218
Bleach,101,219
Bleach,101,220
Bleach,101,221
Bleach,101,222
Bleach,101,223
Bleach,101,224
Bleach,102,194
Bleach,102,195
Bleach,102,196
Bleach,102,197
Bleach,102,198
Bleach,102,200
Bleach,102,201
Bleach,102,202
Bleach,102,203
Bleach,102,204
Bleach,102,205
Bleach,102,206
Bleach,102,210
Bleach,102,211
Bleach,102,212
Bleach,102,213
Bleach,102,214
Bleach,102,215
Bleach,102,216
Bleach,102,217
Bleach,102,218
Bleach,102,219
Bleach,102,220
Bleach,102,221
Bleach,102,222
Bleach,102,223
Bleach,103,195
Bleach,103,196
Bleach,103,197
Bleach,103,198
Bleach,103,199
Bleach,103,200
Bleach,103,201
Bleach,103,202
Bleach,103,203
Bleach,103,204
Bleach,103,205
Bleach,103,206
Bleach,103,207
Bleach,103,209
Bleach,103,210
Bleach,103,211
Bleach,103,212
Bleach,103,213
Bleach,103,214
Bleach,103,215
Bleach,103,216
Bleach,103,217
Bleach,103,218
Bleach,103,219
Bleach,103,220
Bleach,103,221
Bleach,103,222
Bleach,103,223
Bleach,103,224
Bleach,104,196
Bleach,104,197
Bleach,104,198
Bleach,104,199
Bleach,104,200
Bleach,104,201
Bleach,104,202
Bleach,104,203
Bleach,104,204
Bleach,104,205
Bleach,104,206
Bleach,104,207
Bleach,104,208
Bleach,104,209
Bleach,104,210
Bleach,104,211
Bleach,104,212
Bleach,104,213
Bleach,104,214
Bleach,104,215
Bleach,104,216
Bleach,104,217
Bleach,104,218
Bleach,104,219
Bleach,104,220
Bleach,104,221
Bleach,104,222
Bleach,104,223
Bleach,104,224
Bleach,105,195
Bleach,105,196
Bleach,105,197
Bleach,105,198
Bleach,105,199
Bleach,105,200
Bleach,105,201
Bleach,105,202
Bleach,105,203
Bleach,105,204
Bleach,105,205
Bleach,105,206
Bleach,105,207
Bleach,105,208
Bleach,105,209
Bleach,105,210
Bleach,105,211
Bleach,105,212
Bleach,105,213
Bleach,105,214
Bleach,105,215
Bleach,105,216
Bleach,105,217
Bleach,105,218
Bleach,105,219
Bleach,105,220
Bleach,105,221
Bleach,105,222
Bleach,105,223
Bleach,106,194
Bleach,106,195
Bleach,106,196
Bleach,106,197
Bleach,106,198
Bleach,106,199
Bleach,106,200
Bleach,106,201
Bleach,106,202
Bleach,106,203
Bleach,106,204
Bleach,106,205
Bleach,106,206
Bleach,106,207
Bleach,106,208
Bleach,106,209
Bleach,106,210
Bleach,106,211
Bleach,106,212
Bleach,106,213
Bleach,106,214
Bleach,106,215
Bleach,106,216
Bleach,106,217
Bleach,106,218
Bleach,106,219
Bleach,106,220
Bleach,106,221
Bleach,106,222
Bleach,107,183
Bleach,107,195
Bleach,107,196
Bleach,107,197
Bleach,107,198
Bleach,107,199
Bleach,107,200
Bleach,107,201
Bleach,107,202
Bleach,107,203
Bleach,107,204
Bleach,107,205
Bleach,107,206
Bleach,107,207
Bleach,107,208
Bleach,107,209
Bleach,107,210
Bleach,107,211
Bleach,107,212
Bleach,107,213
Bleach,107,214
Bleach,107,215
Bleach,107,216
Bleach,107,217
Bleach,107,218
Bleach,107,219
Bleach,107,220
Bleach,107,221
Bleach,107,222
Bleach,107,223
Bleach,108,182
Bleach,108,183
Bleach,108,184
Bleach,108,185
Bleach,108,194
Bleach,108,195
Bleach,108,196
Bleach,108,197
Bleach,108,198
Bleach,108,199
Bleach,108,200
Bleach,108,201
Bleach,108,202
Bleach,108,203
Bleach,108,204
Bleach,108,205
Bleach,108,206
Bleach,108,207
Bleach,108,208
Bleach,108,209
Bleach,108,210
Bleach,108,211
Bleach,108,212
Bleach,108,213
Bleach,108,214
Bleach,108,215
Bleach,108,216
Bleach,108,217
Bleach,108,218
Bleach,108,219
Bleach,108,220
Bleach,108,221
Bleach,108,222
Bleach,108,223
Bleach,108,224
Bleach,109,181
Bleach,109,182
Bleach,109,183
Bleach,109,184
Bleach,109,185
Bleach,109,186
Bleach,109,193
Bleach,109,194
Bleach,109,195
Bleach,109,196
Bleach,109,197
Bleach,109,198
Bleach,109,199
Bleach,109,200
Bleach,109,201
Bleach,109,202
Bleach,109,203
Bleach,109,204
Bleach,109,205
Bleach,109,206
Bleach,109,207
Bleach,109,208
Bleach,109,209
Bleach,109,210
Bleach,109,211
Bleach,109,212
Bleach,109,213
Bleach,109,214
Bleach,109,215
Bleach,109,216
Bleach,109,217
Bleach,109,218
Bleach,109,219
Bleach,109,220
Bleach,109,221
Bleach,109,222
Bleach,109,223
Bleach,109,224
Bleach,109,235
Bleach,110,170
Bleach,110,182
Bleach,110,183
Bleach,110,184
Bleach,110,185
Bleach,110,186
Bleach,110,187
Bleach,110,192
Bleach,110,193
Bleach,110,194
Bleach,110,195
