Pixel_Index,Frame_0_t0.00s,Frame_1_t0.72s,Frame_2_t1.43s,Frame_3_t2.15s,Frame_4_t2.87s,Frame_5_t3.58s,Frame_6_t4.30s,Frame_7_t5.02s,Frame_8_t5.73s,Frame_9_t6.45s
0,35,40,42,43,34,33,28,33,24,24
1,31,32,39,37,37,32,25,26,25,25
2,18,29,28,24,24,13,21,19,22,23
3,29,35,31,34,38,26,28,39,35,32
4,36,53,43,46,42,31,26,39,30,29
5,36,44,50,44,37,32,31,39,37,26
6,43,43,39,42,43,29,31,30,29,35
7,36,37,41,41,35,33,23,27,28,30
8,36,34,35,32,37,31,27,30,26,30
9,21,27,26,21,23,18,18,18,26,16
10,21,28,21,26,23,19,15,28,23,24
11,19,26,22,30,21,21,23,30,27,25
12,25,28,25,27,23,20,28,31,31,26
13,37,28,30,34,31,28,28,26,31,26
14,42,39,32,43,32,37,35,31,36,31
15,32,40,44,37,40,32,40,38,31,32
16,39,44,51,44,43,41,33,32,29,35
17,42,44,50,49,39,36,31,30,30,25
18,41,42,52,47,33,40,28,28,33,29
19,31,41,34,42,37,30,28,24,34,26
20,34,39,44,37,31,34,32,27,32,26
21,20,19,25,21,20,17,21,18,25,23
22,26,25,29,24,34,26,27,27,28,19
23,31,31,32,25,30,26,25,34,31,19
24,36,30,28,29,28,25,25,27,28,24
25,18,21,18,24,13,17,20,18,22,26
26,23,29,21,19,18,23,16,20,22,25
27,28,30,29,33,21,22,28,21,26,25
28,34,30,31,27,27,28,30,27,32,30
29,32,28,31,29,30,28,31,25,32,30
30,34,30,33,34,35,35,33,32,34,33
31,31,28,43,28,37,33,38,36,35,30
32,34,36,38,35,35,33,35,37,41,36
33,38,42,44,38,36,36,31,37,32,32
34,37,39,52,43,38,38,25,29,32,33
35,39,39,35,40,40,34,28,36,33,35
36,37,37,38,37,27,36,33,29,31,33
37,42,29,35,35,32,31,32,35,34,31
38,31,35,26,28,31,34,41,29,29,30
39,11,18,22,19,16,16,12,18,20,22
40,18,20,32,20,21,18,18,25,22,26
41,17,23,33,22,32,22,29,32,23,27
42,21,27,30,30,34,27,28,33,31,29
43,22,31,30,32,36,27,31,25,36,28
44,28,35,42,37,36,38,34,36,31,29
45,33,47,38,44,46,37,34,35,36,32
46,40,49,41,42,36,40,31,35,27,26
47,18,19,24,16,18,12,22,20,16,21
48,22,21,22,28,16,16,22,22,19,29
49,23,22,22,28,22,28,23,21,26,33
50,26,31,30,26,25,28,24,24,24,26
51,34,35,34,30,25,30,28,26,27,27
52,33,30,34,32,35,32,29,35,32,32
53,35,28,41,32,33,36,36,31,42,35
54,30,28,38,38,31,32,32,33,40,38
55,36,33,42,36,37,33,38,31,35,35
56,32,36,51,39,35,32,30,32,30,32
57,32,32,42,42,33,32,28,31,31,35
58,27,33,40,41,35,30,28,32,30,36
59,32,31,27,31,29,28,34,27,30,40
60,34,35,31,32,26,30,25,29,23,33
61,27,26,28,34,27,30,33,24,20,34
62,19,19,21,19,18,19,23,22,26,24
63,21,20,25,23,21,23,27,30,29,28
64,26,24,27,30,26,25,25,30,30,31
65,27,24,32,32,33,29,33,33,36,26
66,35,42,43,37,40,35,36,39,34,30
67,39,30,46,41,35,47,35,33,25,29
68,36,40,46,42,40,44,45,45,41,30
69,39,37,51,46,37,49,39,44,43,37
70,35,42,38,38,49,39,34,42,37,32
71,28,34,31,26,40,29,22,25,22,27
72,15,17,28,17,17,17,15,28,19,17
73,21,22,27,17,20,18,21,20,20,23
74,29,31,30,23,24,21,26,28,18,25
75,29,33,30,22,23,26,28,28,25,32
76,34,31,33,30,27,23,28,27,26,25
77,29,36,37,31,33,33,28,25,37,28
78,31,28,41,33,35,31,26,28,32,28
79,31,31,43,33,29,34,30,36,29,33
80,27,31,41,43,28,28,33,37,36,29
81,27,34,40,36,36,38,36,32,30,27
82,32,29,37,36,28,29,25,34,32,34
83,36,32,36,38,32,29,30,27,33,32
84,29,41,32,39,30,33,29,31,36,38
85,31,30,32,33,27,22,30,29,29,32
86,23,17,21,23,19,17,24,26,26,22
87,29,23,24,25,20,19,24,28,26,29
88,29,25,28,28,28,33,28,27,21,33
89,28,29,32,33,30,41,37,33,27,31
90,35,38,35,33,33,37,41,36,32,34
91,25,34,35,34,32,34,37,28,32,31
92,28,36,40,34,33,44,35,29,31,25
93,40,40,42,34,35,35,30,42,29,33
94,43,42,44,36,42,35,37,35,39,41
95,27,33,39,32,40,32,37,34,31,40
96,23,26,26,36,30,28,27,30,29,29
97,14,18,21,23,24,25,19,20,21,24
98,19,17,15,20,17,18,19,20,15,22
99,15,16,19,17,19,14,15,26,20,20
100,26,24,26,16,17,21,19,25,17,24
101,31,25,26,20,14,24,23,27,22,20
102,26,34,28,24,25,30,21,27,24,26
103,32,25,34,32,24,30,22,29,22,27
104,29,31,34,29,28,28,27,28,30,25
105,38,28,32,30,24,31,27,27,36,26
106,30,33,39,31,30,31,26,31,32,23
107,34,29,39,32,35,31,32,34,26,31
108,29,32,37,40,30,32,30,36,26,36
109,38,31,33,34,38,35,27,35,25,33
110,28,33,31,37,33,30,31,31,34,30
111,27,30,33,24,28,35,29,27,29,34
112,30,25,27,25,22,25,27,23,19,15
113,26,35,30,38,23,33,30,25,26,22
114,23,34,30,39,34,36,28,34,24,26
115,20,35,27,37,33,32,31,29,26,25
116,19,25,34,36,30,29,28,28,21,25
117,19,21,33,27,29,28,25,25,17,19
118,26,22,22,34,30,32,24,24,22,22
119,35,31,29,36,29,31,25,26,30,23
120,40,34,39,32,28,31,31,35,28,29
121,34,36,33,30,27,28,29,34,32,37
122,26,30,25,25,31,31,28,22,24,28
123,18,24,22,21,20,23,18,22,23,22
124,20,22,16,20,20,18,12,19,20,16
125,15,15,15,15,12,14,18,17,24,19
126,17,15,14,18,17,19,13,23,14,19
127,21,12,17,20,18,12,19,22,16,23
128,25,22,18,16,15,26,16,20,23,21
129,33,21,24,26,21,27,26,24,27,23
130,31,24,28,26,24,30,31,26,30,25
131,31,27,32,29,22,26,25,30,30,35
132,34,27,30,31,30,33,36,30,26,29
133,32,28,29,33,24,32,29,36,31,29
134,31,27,32,34,32,39,33,25,35,28
135,34,31,27,33,35,32,25,31,25,29
136,33,32,32,34,32,32,25,28,24,22
137,32,33,28,31,26,29,26,24,27,27
138,28,30,29,27,27,34,24,26,25,28
139,30,25,27,28,32,26,28,22,22,26
140,24,26,29,23,25,24,32,19,25,23
