Sample,Frame,Time_s,Raw_Bleach_Intensity,Normalized_Intensity,Fitted_Value
100uM OA,0,0.0000,8.1358,0.000000,0.000000
100uM OA,1,0.7179,12.1888,0.312669,0.313203
100uM OA,2,1.4358,14.0908,0.453073,0.450107
100uM OA,3,2.1536,14.9424,0.504735,0.509949
100uM OA,4,2.8715,15.3192,0.538888,0.536107
SCDi,0,0.0000,16.8048,0.000000,0.000000
SCDi,1,0.7168,20.2805,0.182833,0.172340
SCDi,2,1.4337,22.4063,0.295059,0.290149
SCDi,3,2.1505,23.1018,0.362809,0.370679
SCDi,4,2.8674,22.8281,0.429065,0.425729
SCDi,5,3.5842,22.4782,0.454996,0.463359
SCDi,6,4.3011,22.7827,0.494948,0.489082
SCDi,7,5.0179,22.4007,0.485859,0.506666
SCDi,8,5.7348,22.3720,0.520980,0.518686
SCDi,9,6.4516,22.1423,0.543266,0.526902
