Series_Index,Series_Name,Dims_X,Dims_Y,Dims_Z,Dims_T,Channels,Bit_Depth,Scale_X,Scale_Y,Scale_Z,Scale_T
0,Series001,512,512,1,1,2,8,2.769290,2.769290,N/A,N/A
1,Series002,512,512,1,1,2,8,2.769290,2.769290,N/A,N/A
2,Series003,512,512,1,1,2,8,2.769290,2.769290,N/A,N/A
3,Image001,512,512,1,1,2,8,2.769290,2.769290,N/A,N/A
4,Series004,512,512,1,1,2,8,2.769290,2.769290,N/A,N/A
5,Series005,512,512,1,1,2,8,2.769290,2.769290,N/A,N/A
6,Series006,512,512,1,1,2,8,16.615741,16.615741,N/A,N/A
7,Image 2,512,512,1,1,2,8,8.317962,8.317962,N/A,N/A
8,Image 3,512,512,1,1,2,8,8.317962,8.317962,N/A,N/A
9,100uM OA/FRAP Pre Series07,512,512,1,2,2,8,11.930137,11.930137,N/A,0.717875
10,100uM OA/FRAP Pb1 Series08,512,512,1,5,2,8,11.930137,11.930137,N/A,0.100003
11,FRAP 001/FRAP Pre Series19,512,512,1,1,2,8,11.930137,11.930137,N/A,N/A
12,FRAP 001/FRAP Pb1 Series20,512,512,1,10,2,8,11.930137,11.930137,N/A,0.774927
13,FRAP 002/FRAP Pre Series22,512,512,1,1,2,8,11.930137,11.930137,N/A,N/A
14,FRAP 002/FRAP Pb1 Series23,512,512,1,10,2,8,11.930137,11.930137,N/A,0.500056
15,FRAP 003/FRAP Pre Series25,512,512,1,2,2,8,11.071023,11.071023,N/A,0.718391
16,FRAP 004/FRAP Pre Series28,512,512,1,2,2,8,11.071023,11.071023,N/A,0.717875
17,FRAP 004/FRAP Pb1 Series29,512,512,1,10,2,8,11.071023,11.071023,N/A,0.184038
18,SCDi/FRAP Pre Series31,512,512,1,2,2,8,11.071023,11.071023,N/A,0.716846
19,SCDi/FRAP Pb1 Series32,512,512,1,10,2,8,11.071023,11.071023,N/A,0.189040
